詞語	吳拼
一朝天子一朝臣	iq jiau thi tsy iq jiau jin
一朝被蛇咬	iq ciau bei dzo ngau
一架	iq ko
一棍子打煞	iq kuen tsy tan saq
一櫃	iq guei
一次生	iq tshy san
一步一個腳印	iq bu iq goq ciaq in
一段時間	iq doe zy ci
一汽大衆	iq chi da tson
一流人才	iq lieu zyun dze
一無所長	iq vu so jian
一無所長	iq Wu so jian
一無長物	iq vu jian vaq
一無長物	iq Wu jian vaq
一片狼藉	iq phi laon zhiq
一物降一物	iq vaq ghaon iq vaq
一班人	iq pae gnin
一生	iq sen
一生中	iq sen tson
一生受用不盡	iq sen zhieu yon paq jin
一生受用勿盡	iq sen zhieu yon vaq jin
一生受用弗盡	iq sen zhieu yon vaq jin
一百人	iq paq gnin
一百個	iq paq goq
一百分	iq paq fen
一目十行	iq moq zyuq ghaon
一着	iq ciaq
一着不慎	iq ciaq paq zyun
一瞄	iq mhiau
一瞬間	iq syun ci
一神教	iq zyun ciau
一票人	iq phiau gnin
一笑了之	iq shiau liau tsy
一籌莫展	iq jieu moq ci
一籌莫展	iq jieu moq tsoe
一線希望	iq shi shi vaon
一線生機	iq shi sen ci
一羣人	iq jiun gnin
一脈相傳	iq maq shian dzOE
一般人	iq pae gnin
一般人員	iq pae zyun yu
一般狀況	iq pae dzaon huaon
一般貿易	iq pae meu yiq
一萬人	iq vae gnin
一萬個	iq vae goq
一號電池	iq ghau di ji
一行	iq ghaon
一行	iq yin
一行三昧	iq yin sae mei
一行人	iq yin gnin
一行行	iq yin yin
一行行	iq ghaon ghaon
一表人才	iq piau zyun dze
一表人材	iq piau zyun dze
一表人物	iq piau zyun vaq
一被	iq bei
一覺	iq kau
一覺睏到天亮	iq kau khuen tau thi lian
一覺睏到天亮	iq kau khuen tau thiq gnian
一覺睏到大天亮	iq kau khuen tau dou thi lian
一觸即爆	iq tshoq ciq bau
一言一行	iq yi iq yin
一走了之	iq tseu liau tsy
一辭莫贊	iq dzy moq tsae
一過去	iq kou chi
一部分	iq bu ven
一醉解千愁	iq tsei ka chi zeu
一錘子買賣	iq zei tsy ma ma
一錘定音	iq zei din in
一長	iq jian
一長一短	iq jian iq toe
一間	iq kae
一隻貓	iq tsaq mae
一集	iq jiq
一霎間	iq saq ci
一面之交	iq mi tsy ciau
一頭撞煞	iq deu dzaon saq
一風吹	iq fon tshyu
一飽耳福	iq pau er foq
一髮之差	iq faq tsy tsho
一髮之間	iq faq tsy ci
一鳴驚人	iq min cin zyun
一眼也	iq ngae gha
一眼也勿	iq ngae gha vaq
一眼也弗	iq ngae gha vaq
一眼也嘸沒	iq ngae gha mhiq
一眼也	iq ngae ya
一眼也勿	iq ngae ya vaq
一眼也弗	iq ngae ya vaq
一眼也嘸沒	iq ngae ya mhiq
一鼻子	iq biq tsy
一鼻子灰	iq biq tsy huei
一鼻孔	iq biq khon
一鼻孔出氣	iq biq khon tshyuq chi
丁一確二	tin iq chiuq er
丁二烯	tin er shi
丁二醇	tin er zyun
丁克家庭	tin khaq cia din
丁加奴	tin cia nu
丁固生松	tin ku sen son
丁基橡膠	tin ci zhian ciau
丁寵家庭	tin tshon cia din
丁村人	tin tshen gnin
丁苯橡膠	tin pen zhian ciau
七世	chiq shi
七世夫妻	chiq shi fu chi
七了八當	chiq liau paq taon
七人	chiq gnin
七個	chiq goq
七個人	chiq goq gnin
七個八個	chiq goq paq goq
七億人	chiq i gnin
七分	chiq fen
七分之一	chiq fen tsy iq
七分鐘	chiq fen tson
七十七國集團	chiq zyuq chiq koq jiq doe
七十二	chiq zyuq gni
七十兩	chiq zyuq lian
七十二行	chiq zyuq gni ghaon
七十兩行	chiq zyuq lian ghaon
七千人	chiq chi gnin
七國集團	chiq koq jiq doe
七大	chiq da
七大工業國集團	chiq da kon gniq koq jiq doe
七大洲	chiq da cieu
七層架構	chiq zen cia keu
七扭八歪	chiq gnieu paq hua
七日	chiq gniq
七歲	chiq syu
七百人	chiq paq gnin
七級浮屠	chiq ciq vu du
七號電池	chiq ghau di ji
七行	chiq ghaon
七行詩	chiq ghaon sy
七覺支	chiq ciuq tsy
七魄	chiq phaq
丈二和尚	jian gni ghou zaon
丈二和尚摸不着頭腦	jian gni ghou zaon moq paq dzoq deu nau
丈二和尚摸不着頭腦	jian gni ghou zaon moq paq zyuq deu nau
丈二和尚摸勿着頭腦	jian gni ghou zaon moq vaq dzoq deu nau
丈二和尚摸弗着頭腦	jian gni ghou zaon moq vaq dzoq deu nau
丈二和尚摸勿着頭腦	jian gni ghou zaon moq vaq zyuq deu nau
丈二和尚摸弗着頭腦	jian gni ghou zaon moq vaq zyuq deu nau
丈二金剛	jian gni cin kaon
三世	sae shi
三世佛	sae shi vaq
三世紀	sae syu ci
三人	sae gnin
三人份	sae gnin ven
三人成虎	sae gnin jin fu
三人行	sae zyun yin
三人行必有我師	sae zyun yin piq yeu ngo sy
三伏天	sae voq thi
三個世界	sae goq syu ka
三個人	sae goq gnin
三個代表	sae goq de piau
三個和尚嘸沒水喝	sae goq ghou zaon mhiq syu haq
三個和尚嘸沒水喫	sae goq ghou zaon mhiq syu chioq
三個女人一臺戲	sae goq gniu gnin iq de shi
三個字	sae goq zy
三個方面	sae goq faon mi
三個臭皮匠	sae goq chieu bi zhian
三個臭皮匠勝過諸葛亮	sae goq chieu bi zhian shin kou tsyu kaq lian
三個臭皮匠賽過諸葛亮	sae goq chieu bi zhian se kou tsyu kaq lian
三個臭皮匠頂個諸葛亮	sae goq chieu bi zhian tin goq tsyu kaq lian
三個階段	sae goq ka doe
三個階段	sae goq cie doe
三億人	sae i gnin
三分	sae fen
三分之一	sae fen tsy iq
三分之二	sae fen tsy gni
三分之兩	sae fen tsy lian
三分法	sae fen faq
三分熟	sae fen zoq
三分球	sae fen jieu
三分線	sae fen shi
三分鐘	sae fen tson
三分鐘熱度	sae fen tson gniq du
三分頭	sae fen deu
三分頭	sae ven deu
三十二	sae zyuq gni
三十兩	sae zyuq lian
三十兩萬	sae zyuq lian vae
三十日	sae zyuq gniq
三十歲	sae zyuq syu
三千世界	sae chi syu ka
三千人	sae chi gnin
三千個	sae chi goq
三句不離本行	sae ciu paq li pen ghaon
三句勿離本行	sae ciu vaq li pen ghaon
三句弗離本行	sae ciu vaq li pen ghaon
三句話不離本行	sae ciu wo paq li pen ghaon
三句話勿離本行	sae ciu wo vaq li pen ghaon
三句話弗離本行	sae ciu wo vaq li pen ghaon
三呼萬歲	sae fu vae sei
三商行	sae saon ghaon
三圍	sae wei
三大	sae da
三大件	sae da ji
三大作風	sae da tsoq fon
三大塊	sae dou khuei
三大差別	sae da tsho biq
三大政策	sae da cin tshaq
三大洋	sae da yan
三大片	sae da phi
三大發明	sae da faq min
三大革命	sae da kaq min
三大革命運動	sae da kaq min yun don
三大類	sae da lei
三夷教	sae yi ciau
三好學生	sae hau ghoq san
三好生	sae hau san
三孃教子	sae gnian ciau tsy
三家	sae cia
三家村	sae cia tshen
三度空間	sae du khon ci
三座大山	sae zou da sae
三心兩意	sae shin lian i
三思而後行	sae sy er gheu yin
三思而行	sae sy er yin
三房兩廳	sae vaon lian thin
三教	sae ciau
三教九流	sae ciau cieu lieu
三日	sae gniq
三日份	sae gniq ven
三日打魚	sae gniq tan ng
三星集團	sae shin jiq doe
三更	sae kan
三更半夜	sae kan pun ya
三朝元老	sae jiau gniu lau
三樂	sae loq
三權分立	sae jiu fen liq
三歲	sae syu
三歲時	sae syu zy
三毛貓	sae mau mae
三江生態旅遊區	sae kaon sen the li yeu chiu
三牲	sae san
三生	sae sen
三生有幸	sae sen yeu yin
三生石	sae sen zaq
三申五令	sae syun ng lin
三百人	sae paq gnin
三百個	sae paq goq
三百六十行	sae paq loq zyuq ghaon
三百六十行行行出狀元	sae paq loq zyuq ghaon ghaon ghaon tshyuq dzaon gniu
三省	sae san
三等分	sae ten fen
三等分角	sae ten fen koq
三絃樂器	sae yi yuq chi
三維空間	sae vi khon ci
三自	sae zy
三自性	sae zy shin
三自愛國教會	sae zy e koq ciau wei
三自教會	sae zy ciau wei
三色貓	sae saq mae
三萬兩千	sae vae lian chi
三萬人	sae vae gnin
三萬個	sae vae goq
三號電池	sae ghau di ji
三行	sae ghaon
三角學	sae koq yuq
三角架	sae koq ko
三農問題	sae non ven di
三重人	sae dzon gnin
三長制	sae jian tsyu
三間	sae kae
三閭大夫	sae li da fu
三阿姨	sae aq yi
三集	sae jiq
三面夏娃	sae mi gho ua
三體問題	sae thi ven di
三魂七魄	sae wen chiq phaq
三鹿集團	sae loq jiq doe
上一個	zaon iq goq
上下交困	zaon gho ciau khuen
上下班時間	zaon gho pae zy ci
上落班時間	zaon loq pae zy ci
上落班辰光	zaon loq pae zyun kuaon
上勿了	zaon vaq liau
上弗了	zaon vaq liau
上勿了臺面	zaon vaq liau de mi
上弗了臺面	zaon vaq liau de mi
上勿去	zaon vaq chi
上弗去	zaon vaq chi
上世	zaon shi
上世紀	zaon syu ci
上交	zaon ciau
上交所	zaon ciau so
上個	zaon goq
上個世紀	zaon goq syu ci
上個星期	zaon goq shin ji
上個禮拜	zaon goq li pa
上禮拜	zaon li pa
上傳	zaon dzOE
上傳到	zaon dzOE tau
上傳圖片	zaon dzOE du phi
上分器	zaon fen chi
上千人	zaon chi gnin
上半部分	zaon pun bu ven
上吊自殺	zaon tiau zy saq
上大學	zaon da ghoq
上學時	zaon ghoq zy
上學校	zaon ghoq yau
上官婉兒	zaon kun un er
上市交易	zaon zy ciau yiq
上市時間	zaon zy zy ci
上帝教	zaon ti ciau
上新世	zaon shin syu
上映期間	zaon in ji ci
上朝	zaon jiau
上架	zaon ko
上機時間	zaon ci zy ci
上歲數	zaon sei su
上沃爾特	zaon oq er daq
上流人士	zaon lieu zyun zy
上海交大	zaon he ciau da
上海交通大學	zaon he ciau thon da ghoq
上海人	zaon he gnin
上海外國語大學	zaon he nga koq gniu da ghoq
上海大劇院	zaon he da jiq yu
上海大學	zaon he da ghoq
上海大衆	zaon he da tson
上海寶鋼集團公司	zaon he pau kaon jiq doe kon sy
上海師範大學	zaon he sy vae da ghoq
上海文廣新聞傳媒集團	zaon he ven kuaon shin ven dzOE mei jiq doe
上海汽車工業集團	zaon he chi tsho kon gniq jiq doe
上海第二醫科大學	zaon he di gni i khou da ghoq
上海證券交易所	zaon he cin chiu ciau yiq so
上海醫科大學	zaon he i khou da ghoq
上海音樂學院	zaon he in yuq ghoq yu
上海音樂學院	zaon he in yuq yuq yu
上牀睏覺	zaon zaon khuen kau
上片時間	zaon phi zy ci
上牌	zaon ba
上班時間	zaon pae zy ci
上班辰光	zaon pae zyun kuaon
上癮	zaon in
上癮頭	zaon gni deu
上百人	zaon paq gnin
上籃得分	zaon lae taq fen
上網時間	zaon maon zy ci
上網辰光	zaon maon zyun kuaon
上自	zaon zy
上艾瑟爾	zaon nge saq er
上行	zaon yin
上行下效	zaon yin gho yau
上行列車	zaon yin liq tsho
上訴人	zaon su gnin
上還	zaon wae
上酒家	zaon cieu cia
上集	zaon jiq
下一個	gho iq goq
下勿了	gho vaq liau
下弗了	gho vaq liau
下勿了臺	gho vaq liau de
下弗了臺	gho vaq liau de
下勿去	gho vaq chi
下弗去	gho vaq chi
下人	gho gnin
下個	gho goq
下個星期	gho goq shin ji
下個禮拜	gho goq li pa
下禮拜	gho li pa
下傳	gho dzOE
落去	loq chi
下崗工人	gho kaon kon gnin
下得了	gho taq liau
下懷	gho wae
下拉	gho lha
下拉框	gho lha khuaon
下拉菜單	gho lha tshe tae
下朝	gho jiau
下架	gho ko
下流人士	gho lieu zyun zy
下班時間	gho pae zy ci
下班辰光	gho pae zyun kuaon
下自	gho zy
下自成蹊	gho zy jin chi
下行	gho yin
下行列車	gho yin liq tsho
下課時間	gho khou zy ci
落課時間	loq khou zy ci
落課辰光	loq khou zyun kuaon
跪落	jiu loq
下降	gho ciaon
下集	gho jiq
下鼻甲	gho biq ciaq
勿上去	vaq zaon chi
弗上去	vaq zaon chi
勿下去	vaq gho chi
弗下去	vaq gho chi
勿落去	vaq loq chi
弗落去	vaq loq chi
不世之材	paq syu tsy dze
不世出	paq syu tshyuq
不乏其人	paq vaq ji zyun
不乾不淨	paq kI paq zhin
不乾性油	paq kI shin yeu
不乾杯	paq kI pei
不乾淨	paq kI zhin
勿乾淨	vaq kI zhin
弗乾淨	vaq kI zhin
不乾脆	paq kI tshei
勿乾脆	vaq kI tshei
弗乾脆	vaq kI tshei
不乾膠	paq kI ciau
不乾裂	paq kI liq
勿乾裂	vaq kI liq
弗乾裂	vaq kI liq
不了之局	paq liau tsy jiuq
不了了	paq liau liau
不了了之	paq liau liau tsy
不了情	paq liau jin
不了漢	paq liau he
勿亞於	vaq ia yu
弗亞於	vaq ia yu
勿交	vaq ciau
弗交	vaq ciau
勿交	vaq kau
弗交	vaq kau
不亦樂乎	paq yiq loq wu
不亦樂乎	paq yiq loq vu
不人道	paq zyun dau
勿人道	vaq zyun dau
弗人道	vaq zyun dau
不介意	paq ka i
勿介意	vaq ka i
弗介意	vaq ka i
勿低於	vaq ti yu
弗低於	vaq ti yu
不信任	paq shin zyun
勿信任	vaq shin zyun
弗信任	vaq shin zyun
不信任動議	paq shin zyun don gni
不信任投票	paq shin zyun deu phiau
不信任案	paq shin zyun EI
不假思索	paq cia sy soq
勿做虧心事	vaq tsou khuei shin zy
弗做虧心事	vaq tsou khuei shin zy
勿停	vaq din
弗停	vaq din
勿傷和氣	vaq saon ghou chi
弗傷和氣	vaq saon ghou chi
不共戴天	paq gon te thi
不共戴天之仇	paq gon te thi tsy jieu
不准問	paq tsyun men
勿准問	vaq tsyun men
弗准問	vaq tsyun men
勿出去	vaq tshyuq chi
弗出去	vaq tshyuq chi
不分	paq fen
勿分	vaq fen
弗分	vaq fen
不分勝敗	paq fen shin ba
不分勝負	paq fen shin veu
不分彼此	paq fen pei tshy
不分情由	paq fen jin yeu
不分晝夜	paq fen cieu ya
不分清紅皁白	paq fen chin ghon zau baq
勿分清紅皁白	vaq fen chin ghon zau baq
勿分清紅皁白	vaq fen chin ghon zau baq
不分男女老幼	paq fen nEI gniu lau ieu
不分皁白	paq fen zau baq
不分輕重緩急	paq fen chin dzon wun ciq
不分青紅	paq fen chin ghon
不分青紅皁白	paq fen chin ghon zau baq
不分高下	paq fen kau gho
不列顛哥倫比亞省	paq liq ti kou len pi ia san
勿利於	vaq li yu
弗利於	vaq li yu
不到長城非好漢	paq tau jian jin fi hau he
勿到長城非好漢	vaq tau jian jin fi hau he
弗到長城非好漢	vaq tau jian jin fi hau he
不動了	paq don lei
勿動了	vaq don lei
弗動了	vaq don lei
不區分大小寫	paq chiu fen dou shiau shia
勿區分大小寫	vaq chiu fen dou shiau shia
弗區分大小寫	vaq chiu fen dou shiau shia
不升反降	paq shin fae ciaon
勿升反降	vaq shin fae ciaon
弗升反降	vaq shin fae ciaon
勿去睬	vaq chi tshe
弗去睬	vaq chi tshe
不可一世	paq khou iq syu
不可再生資源	paq khou tse sen tsy gniu
勿可再生資源	vaq khou tse sen tsy gniu
弗可再生資源	vaq khou tse sen tsy gniu
不可分	paq khou fen
弗可分	vaq khou fen
勿可分	vaq khou fen
不可分割	paq khou fen kaq
弗可分割	vaq khou fen kaq
勿可分割	vaq khou fen kaq
不可分離	paq khou fen li
弗可分離	vaq khou fen li
勿可分離	vaq khou fen li
不可同日	paq khou don zyuq
不可同日而語	paq khou don zyuq er gniu
不可名狀	paq khou min dzaon
不可否認	paq khou feu zyun
不可告人	paq khou kau zyun
不可數集	paq khou su jiq
不可更新資源	paq khou ken shin tsy gniu
不可終日	paq khou tson zyuq
不可言傳	paq khou yi dzOE
不可言狀	paq khou yi dzaon
不可開交	paq khou khe ciau
勿喫虧	vaq chioq khuei
弗喫虧	vaq chioq khuei
不同人	paq don gnin
不同國家	paq don koq cia
不同日月	paq don zyuq yuq
不吝賜教	paq lin sy ciau
不問	paq men
不問前因後果	paq men zhi in gheu kou
不問好歹	paq men hau te
不問是非曲直	paq men zy fi chiuq jiq
不問青紅皁白	paq men chin ghon zau baq
弗問	vaq men
弗問前因後果	vaq men zhi in gheu kou
弗問好歹	vaq men hau te
弗問是非曲直	vaq men zy fi chiuq jiq
弗問青紅皁白	vaq men chin ghon zau baq
勿問	vaq men
勿問前因後果	vaq men zhi in gheu kou
勿問好歹	vaq men hau te
勿問是非曲直	vaq men zy fi chiuq jiq
勿問青紅皁白	vaq men chin ghon zau baq
弗單	vaq tae
勿單	vaq tae
勿單是	vaq tae zy
弗單是	vaq tae zy
不在乎	paq dze fu
勿在乎	vaq dze fu
弗在乎	vaq dze fu
不在家	paq dze cia
勿在家	vaq dze cia
弗在家	vaq dze cia
勿堪	vaq khae
勿堪一擊	vaq khae iq ciq
弗堪	vaq khae
弗堪一擊	vaq khae iq ciq
不堪入耳	paq khae zyuq er
不墜	paq dzei
不壞	paq ua
勿壞	vaq ua
弗壞	vaq ua
不外乎	paq nga fu
弗外乎	vaq nga fu
勿外乎	vaq nga fu
勿多於	vaq tou yu
弗多於	vaq tou yu
勿大	vaq dou
弗大	vaq dou
不大不小	paq dou paq shiau
勿大勿小	vaq dou vaq shiau
弗大弗小	vaq dou vaq shiau
不大合時	paq da ghaq zy
不大好	paq da hau
勿大好	vaq da hau
弗大好	vaq da hau
嘸沒大好	mhiq da hau
嘸沒咋好	mhiq dza hau
不大想	paq da shian
勿大想	vaq da shian
弗大想	vaq da shian
勿大忖	vaq da tshen
弗大忖	vaq da tshen
勿咋忖	vaq dza tshen
弗咋忖	vaq dza tshen
不大離	paq da li
不大明白	paq da min baq
不大會	paq da wei
不大能	paq da nen
勿大明白	vaq da min baq
勿大會	vaq da wei
勿大能	vaq da nen
弗大明白	vaq da min baq
弗大會	vaq da wei
弗大能	vaq da nen
不失衆望	paq syuq tson vaon
不好了	paq hau lei
勿好了	vaq hau lei
弗好了	vaq hau lei
不如歸去	paq zyu kuei chiu
不孚衆望	paq fu tson vaon
不學	paq yuq
不學亡術	paq yuq vu zyuq
不學亡術	paq yuq Wu zyuq
不學無術	paq yuq vu zyuq
不學無術	paq yuq Wu zyuq
不安分	paq EI ven
勿安分	vaq EI ven
弗安分	vaq EI ven
不定積分	paq din ciq fen
不容分說	paq yon fen syuq
不容易	paq yon yi
勿容易	vaq yon yi
弗容易	vaq yon yi
不容樂觀	paq yon loq kun
不對味	paq tei vi
不少人	paq shiau zyun
勿屬於	vaq dzoq yu
弗屬於	vaq dzoq yu
不差	paq tsho
不差毫釐	paq tsha ghau li
不差毫髮	paq tsha ghau faq
勿差	vaq tsho
弗差	vaq tsho
不干你	paq kI gni
勿干你	vaq kI ng
弗干你	vaq kI ng
勿干爾	vaq kI ng
弗干爾	vaq kI ng
勿干俉	vaq kI ng
弗干俉	vaq kI ng
勿干儂	vaq kI nou
弗干儂	vaq kI nou
不幸中之大幸	paq yin tson tsy da yin
不幸中的大幸	paq yin tson tiq da yin
不幸中個大幸	paq yin tson goq da yin
不得了	paq taq liau
不得人心	paq taq zyun shin
不得好死	paq taq hau shi
不得擅自	paq taq zoe zy
勿從	vaq dzon
弗從	vaq dzon
不忘	paq vaon
不忘本	paq vaon pen
勿忘	vaq vaon
勿忘本	vaq vaon pen
弗忘	vaq vaon
弗忘本	vaq vaon pen
𣍐忘	vei vaon
𣍐忘本	vei vaon pen
不快樂	paq khua loq
不怕沒柴燒	paq pho mhaq za shiau
勿快樂	vaq khua loq
勿怕死	vaq pho shi
勿怕嘸沒柴燒	vaq pho mhiq za shiau
勿怕鬼敲門	vaq pho ciu khau men
弗快樂	vaq khua loq
弗怕死	vaq pho shi
弗怕嘸沒柴燒	vaq pho mhiq za shiau
弗怕鬼敲門	vaq pho ciu khau men
不恤人言	paq shiuq zyun yi
不悟	paq nu
不惜犧牲	paq shiq shi sen
勿惜犧牲	vaq shiq shi sen
弗惜犧牲	vaq shiq shi sen
不愛你	paq e gni
勿愛你	vaq e gni
弗愛你	vaq e gni
勿愛你	vaq e ng
弗愛你	vaq e ng
勿愛爾	vaq e ng
弗愛爾	vaq e ng
勿愛俉	vaq e ng
弗愛俉	vaq e ng
勿愛儂	vaq e nou
弗愛儂	vaq e nou
不愧	paq khuei
不愧下學	paq khuei gho yuq
不愧不怍	paq khuei paq dzoq
不愧是	paq khuei zy
不愧爲	paq khuei wei
不應該	paq in ke
勿應該	vaq in ke
弗應該	vaq in ke
不懷	paq wae
不懷好意	paq wae hau i
勿懷	vaq wae
勿懷好意	vaq wae hau i
弗懷	vaq wae
弗懷好意	vaq wae hau i
不成問題	paq jin ven di
勿成問題	vaq jin ven di
勿成材	vaq jin dze
弗成問題	vaq jin ven di
弗成材	vaq jin dze
不戴	paq ta
勿戴	vaq ta
弗戴	vaq ta
不戴	paq te
勿戴	vaq te
弗戴	vaq te
不打自招	paq tan zy ciau
不承認主義	paq jin zyun tsyu gni
不按牌理	paq EI ba li
不按牌理出牌	paq EI ba li tshyuq ba
不提也罷	paq di ye ba
不擋人財路	paq taon gnin dze lu
不攻自破	paq kon zy phou
不教而誅	paq ciau er tsyu
不敢後人	paq kI gheu gnin
不敢自專	paq kI zy tsoe
不敢越雷池一步	paq kI yuq lei ji iq bu
不敢越雷池一步	paq kI yuq lei dzy iq bu
不斷加強	paq doe cia jian
不斷增加	paq doe tsen ko
不斷擴大	paq doe khoq dou
不斷更新	paq doe ken shin
不日	paq zyuq
不早了	paq tsau lei
勿早了	vaq tsau lei
弗早了	vaq tsau lei
不明確	paq min chiuq
勿明確	vaq min chiuq
弗明確	vaq min chiuq
不明飛行物	paq min fi yin vaq
不易	paq yi
不易	paq yiq
不易之論	paq yiq tsy len
不是一個	paq zy iq goq
勿是一個	vaq zy iq goq
弗是一個	vaq zy iq goq
勿是儂	vaq zy nou
勿是儂	vaq zy nou
弗是儂	vaq zy nou
弗是儂	vaq zy nou
勿是俉	vaq zy ng
勿是俉	vaq zy ng
弗是俉	vaq zy ng
弗是俉	vaq zy ng
勿是爾	vaq zy ng
勿是爾	vaq zy ng
弗是爾	vaq zy ng
弗是爾	vaq zy ng
不是其他人	paq zy ji tha gnin
不是其它人	paq zy ji tha gnin
勿是其他人	vaq zy ji tha gnin
勿是其它人	vaq zy ji tha gnin
弗是其他人	vaq zy ji tha gnin
弗是其它人	vaq zy ji tha gnin
勿是嘸沒	vaq zy mhiq
弗是嘸沒	vaq zy mhiq
不是滋味	paq zy tsy vi
勿是滋味	vaq zy tsy vi
弗是滋味	vaq zy tsy vi
不更事	paq ken zy
勿更事	vaq ken zy
弗更事	vaq ken zy
不曾	paq dzen
不曾在	paq dzen dze
不曾有	paq dzen yeu
不曾有過	paq dzen yeu kou
勿曾	vaq dzen
勿曾在	vaq dzen dze
勿曾來	vaq dzen le
勿曾有	vaq dzen yeu
勿曾有過	vaq dzen yeu kou
弗曾	vaq dzen
弗曾在	vaq dzen dze
弗曾來	vaq dzen le
弗曾有	vaq dzen yeu
弗曾有過	vaq dzen yeu kou
不會吧	paq wei pa
不會忘記	paq wei maon ci
勿會忘記	vaq wei maon ci
弗會忘記	vaq wei maon ci
𣍐忘記	vei maon ci
不樂	paq loq
不樂於	paq loq yu
不樂觀	paq loq kun
勿樂	vaq loq
勿樂於	vaq loq yu
勿樂觀	vaq loq kun
弗樂	vaq loq
弗樂於	vaq loq yu
弗樂觀	vaq loq kun
勿止於此	vaq tsy yu tshy
弗止於此	vaq tsy yu tshy
不正常狀況	paq cin dzaon dzaon huaon
勿正常狀況	vaq cin dzaon dzaon huaon
弗正常狀況	vaq cin dzaon dzaon huaon
不正當競爭	paq cin taon jin tsen
勿正當競爭	vaq cin taon jin tsen
弗正當競爭	vaq cin taon jin tsen
不正確	paq cin chiuq
勿正確	vaq cin chiuq
弗正確	vaq cin chiuq
不死心	paq sy shin
勿死	vaq shi
勿死勿活	vaq shi vaq waq
勿死心	vaq sy shin
弗死	vaq shi
弗死弗活	vaq shi vaq waq
弗死心	vaq sy shin
